VCD info: dumpfile sm_core_tb.vcd opened for output.
============================================
  SM Core Testbench v1.2 â€” Starting
============================================

--- K1: Basic ALU (MOVI + ADD) ---
[PASS] T1: K1 R1=100  SP0.R1 = 0x0064
  [C017] PC=9 dec=2050bbbb MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=6 | stk_sp=1 tos_rpc=12 tos_ph=1
  [C018] PC=10 dec=b800000c BRA      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=12 tos_ph=1
  [C019] PC=11 dec=2050aaaa MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=0011 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=1
  [C020] PC=12 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1100 stk_e=0 conv=01 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=1
  [C021] PC=13 dec=2060cccc MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C022] PC=14 dec=c8000000 RET      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1100 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=6 | stk_sp=0 tos_rpc=x tos_ph=x
  [C023] PC=15 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C024] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C025] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C026] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=1 wb_rD=6 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C027] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C028] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C029] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=1
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  RF dump       R0     R1     R2     R3     R4     R5     R6     R7   
       SP0:   0000  0002  0000  0000  0000  aaaa  cccc  0000 
       SP1:   0001  0002  0000  0000  0000  aaaa  cccc  0000 
       SP2:   0002  0002  0000  0000  0000  bbbb  cccc  0000 
       SP3:   0003  0002  0000  0000  0000  bbbb  cccc  0000 
[PASS] T269: K31 SP0 R5=taken  SP0.R5 = 0xaaaa
[PASS] T270: K31 SP1 R5=taken  SP1.R5 = 0xaaaa
[PASS] T271: K31 SP2 R5=fall  SP2.R5 = 0xbbbb
[PASS] T272: K31 SP3 R5=fall  SP3.R5 = 0xbbbb
[PASS] T273: K31 R6=reconv  SP0.R6 = 0xcccc
[PASS] T274: K31 R6=reconv  SP1.R6 = 0xcccc
[PASS] T275: K31 R6=reconv  SP2.R6 = 0xcccc
[PASS] T276: K31 R6=reconv  SP3.R6 = 0xcccc

--- K32: SIMT uniform-taken PBRA ---
  SET P0=1 â†’ all taken, no stack push
  Program listing:
    [ 0] 20500000  MOVI    R5, 0 (0x0000)
    [ 1] 20600000  MOVI    R6, 0 (0x0000)
    [ 2] d0000001  SET     P0, 1
    [ 3] 00000000  NOP
    [ 4] 00000000  NOP
    [ 5] 00000000  NOP
    [ 6] c000900b  PBRA    P0, target=9, reconv=11
    [ 7] 2050bbbb  MOVI    R5, 48059 (0xbbbb)
    [ 8] b800000b  BRA     11
    [ 9] 2050aaaa  MOVI    R5, 43690 (0xaaaa)
    [10] 00000000  NOP
    [11] 2060cccc  MOVI    R6, 52428 (0xcccc)
    [12] c8000000  RET
  [C000] PC=0 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C001] PC=0 dec=20500000 MOVI     fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C002] PC=1 dec=20500000 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C003] PC=2 dec=20600000 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C004] PC=3 dec=d0000001 SET      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=6 | stk_sp=0 tos_rpc=x tos_ph=x
  [C005] PC=4 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0060 pend1=0060 pend2=0060 pend3=0060 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C006] PC=5 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0060 pend1=0060 pend2=0060 pend3=0060 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C007] PC=6 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0060 pend1=0060 pend2=0060 pend3=0060 | wb_we_any=1 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C008] PC=7 dec=c000900b PBRA     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=1 wb_rD=6 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C009] PC=8 dec=2050bbbb MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=1 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=1 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C010] PC=9 dec=b800000b BRA      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=1 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C011] PC=10 dec=2050aaaa MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C012] PC=11 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C013] PC=12 dec=2060cccc MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C014] PC=13 dec=c8000000 RET      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=6 | stk_sp=0 tos_rpc=x tos_ph=x
  [C015] PC=14 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0060 pend1=0060 pend2=0060 pend3=0060 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C016] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0060 pend1=0060 pend2=0060 pend3=0060 | wb_we_any=1 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C017] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C018] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=1 wb_rD=6 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C019] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C020] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C021] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=1
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
[PASS] T277: K32 R5=taken path  SP0.R5 = 0xaaaa
[PASS] T278: K32 R5=taken path  SP1.R5 = 0xaaaa
[PASS] T279: K32 R5=taken path  SP2.R5 = 0xaaaa
[PASS] T280: K32 R5=taken path  SP3.R5 = 0xaaaa
[PASS] T281: K32 R6=reconv  SP0.R6 = 0xcccc
[PASS] T282: K32 R6=reconv  SP1.R6 = 0xcccc
[PASS] T283: K32 R6=reconv  SP2.R6 = 0xcccc
[PASS] T284: K32 R6=reconv  SP3.R6 = 0xcccc

--- K33: SIMT uniform-fall PBRA ---
  SET P0=0 â†’ all fall, no redirect, no stack
  Program listing:
    [ 0] 20500000  MOVI    R5, 0 (0x0000)
    [ 1] 20600000  MOVI    R6, 0 (0x0000)
    [ 2] d0000000  SET     P0, 0
    [ 3] 00000000  NOP
    [ 4] 00000000  NOP
    [ 5] 00000000  NOP
    [ 6] c000900b  PBRA    P0, target=9, reconv=11
    [ 7] 2050bbbb  MOVI    R5, 48059 (0xbbbb)
    [ 8] b800000b  BRA     11
    [ 9] 2050aaaa  MOVI    R5, 43690 (0xaaaa)
    [10] 00000000  NOP
    [11] 2060cccc  MOVI    R6, 52428 (0xcccc)
    [12] c8000000  RET
  [C000] PC=0 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C001] PC=0 dec=20500000 MOVI     fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C002] PC=1 dec=20500000 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C003] PC=2 dec=20600000 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C004] PC=3 dec=d0000000 SET      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=6 | stk_sp=0 tos_rpc=x tos_ph=x
  [C005] PC=4 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0060 pend1=0060 pend2=0060 pend3=0060 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C006] PC=5 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0060 pend1=0060 pend2=0060 pend3=0060 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C007] PC=6 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0060 pend1=0060 pend2=0060 pend3=0060 | wb_we_any=1 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C008] PC=7 dec=c000900b PBRA     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=1 wb_rD=6 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C009] PC=8 dec=2050bbbb MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=1 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=1 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C010] PC=7 dec=b800000b BRA      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=1 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C011] PC=8 dec=2050bbbb MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C012] PC=9 dec=b800000b BRA      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C013] PC=10 dec=2050aaaa MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C014] PC=11 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C015] PC=12 dec=2060cccc MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C016] PC=13 dec=c8000000 RET      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=6 | stk_sp=0 tos_rpc=x tos_ph=x
  [C017] PC=14 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C018] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C019] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C020] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=1 wb_rD=6 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C021] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C022] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C023] PC=14 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=1
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
[PASS] T285: K33 R5=fall path  SP0.R5 = 0xbbbb
[PASS] T286: K33 R5=fall path  SP1.R5 = 0xbbbb
[PASS] T287: K33 R5=fall path  SP2.R5 = 0xbbbb
[PASS] T288: K33 R5=fall path  SP3.R5 = 0xbbbb
[PASS] T289: K33 R6=reconv  SP0.R6 = 0xcccc
[PASS] T290: K33 R6=reconv  SP1.R6 = 0xcccc
[PASS] T291: K33 R6=reconv  SP2.R6 = 0xcccc
[PASS] T292: K33 R6=reconv  SP3.R6 = 0xcccc

--- K34: SIMT 1+3 asymmetric split ---
  P0=(TID<1): SP0 taken, SP1-SP3 fall
  Program listing:
    [ 0] 1c000000  MOV.TID R0
    [ 1] 20100001  MOVI    R1, 1 (0x0001)
    [ 2] 20500000  MOVI    R5, 0 (0x0000)
    [ 3] aa001000  SETP    P0, R0, R1 (cmp=2)
    [ 4] 00000000  NOP
